Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Discovering Latent Semantic Structure in Human Mobility Traces,Budhaditya Deb,EWSN,2015,1,,http://doi.org/10.1007/978-3-319-15582-1_6
,Prithwish Basu,,,,,
Doing mobility,Alexandra Weilenmann,,2003,1,,https://pdfs.semanticscholar.org/8eb8/257032293507caf671eeb79030eba3d1e3ac.pdf
Duration of stay based weighted scheduling framework for mobile phone sensor data collection in opportunistic crowd sensing,M Thejaswini,Peer-to-Peer Networking and Applications,2016,,,http://doi.org/10.1007/s12083-015-0382-7
,Pachamuthu Rajalakshmi,,,,,
,Uday B. Desai,,,,,
Dynamic population mapping using mobile phone data.,Andrew J. Tatem,Proceedings of the National Academy of Sciences…,2014,6,63,https://pdfs.semanticscholar.org/6ca3/8aef6b59364ed0207b44dff17f56bfba2f9e.pdf
,Catherine Linard,,,,,
,Pierre Deville,,,,,
Dynamic population mapping using mobile phone data.,Andrew J. Tatem,Proceedings of the National Academy of Sciences…,2014,6,63,https://pdfs.semanticscholar.org/6ca3/8aef6b59364ed0207b44dff17f56bfba2f9e.pdf
,Catherine Linard,,,,,
,Pierre Deville,,,,,
Dynamic population mapping using mobile phone data.,Andrew J. Tatem,Proceedings of the National Academy of Sciences…,2014,6,63,https://pdfs.semanticscholar.org/6ca3/8aef6b59364ed0207b44dff17f56bfba2f9e.pdf
,Catherine Linard,,,,,
,Pierre Deville,,,,,
EnLoc: Energy-Efficient Localization for Mobile Phones,Ionut Constandache,IEEE INFOCOM 2009,2009,23,21,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5062218
,Landon P. Cox,,,,,
,Matt Sayler,,,,,
,Romit Roy Choudhury,,,,,
,Shravan Gaonkar,,,,,
Energy Management Techniques in Modern Mobile Handsets,Jon A Crowcroft,IEEE Communications Surveys & Tutorials,2013,9,24,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6157576
,Narseo Vallina-Rodriguez,,,,,
Energy Management Techniques in Modern Mobile Handsets,Jon A Crowcroft,IEEE Communications Surveys & Tutorials,2013,9,24,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6157576
,Narseo Vallina-Rodriguez,,,,,
Energy-Efficient Crowdsensing of Human Mobility and Signal Levels in Cellular Networks,Konrad Polys,Sensors,2015,,8,https://pdfs.semanticscholar.org/3473/c95474b457d43b2d160ec8f1824d90c0da07.pdf
,Krzysztof Grochla,,,,,
,Michal Gorawski,,,,,
,Pawel Foremski,,,,,
Energy-Efficient Crowdsensing of Human Mobility and Signal Levels in Cellular Networks,Konrad Polys,Sensors,2015,,8,https://pdfs.semanticscholar.org/3473/c95474b457d43b2d160ec8f1824d90c0da07.pdf
,Krzysztof Grochla,,,,,
,Michal Gorawski,,,,,
,Pawel Foremski,,,,,
Energy-Efficient Real-Time Human Mobility State Classification Using Smartphones,Stefan Poslad,IEEE Transactions on Computers,2015,3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6857326
,Thomas Olutoyin Oshin,,,,,
Energy-efficient Continuous Context Sensing on Mobile Phones,Zelun Zhang,,2015,1,,https://pdfs.semanticscholar.org/29ff/26cdafcbfaa059362637670efde9dd58d0e0.pdf
Energy-efficient routing in mobile wireless sensor networks using mobility prediction,Andrea Munari,2009 IEEE 34th Conference on Local Computer…,2009,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5355180
,Sukanya Krishnan,,,,,
,Wolfgang Schott,,,,,
Estimating Origin-Destination Flows Using Mobile Phone Location Data,Carlo Ratti,IEEE Pervasive Computing,2011,13,29,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5871578
,Francesco Calabrese,,,,,
,Giusy Di Lorenzo,,,,,
,Liang Liu,,,,,
Estimating Origin-Destination flows using opportunistically collected mobile phone location data from one million users in Boston Metropolitan Area,Carlo Ratti,,2011,3,,https://pdfs.semanticscholar.org/0893/ab73b4ba1b714eeb6f7592bce8db4518465a.pdf
,Francesco Calabrese,,,,,
,Liang Liu,,,,,
Estimating individual employment status using mobile phone network data,Bjørn-Atle Reme,ArXiv,2016,,,https://arxiv.org/pdf/1612.03870.pdf
,Eaman Jahani,,,,,
,Erik Wetter,,,,,
,Johannes Bjelland,,,,,
,Linus Bengtsson,,,,,
,Pål Sundsøy,,,,,
Estimating individual employment status using mobile phone network data,Bjørn-Atle Reme,ArXiv,2016,,,https://arxiv.org/pdf/1612.03870.pdf
,Eaman Jahani,,,,,
,Erik Wetter,,,,,
,Johannes Bjelland,,,,,
,Linus Bengtsson,,,,,
,Pål Sundsøy,,,,,
Estimation of Human Mobility Patterns and Attributes Analyzing Anonymized Mobile Phone CDR: Developing Real-time Census from Crowds of Greater Dhaka,Ayumi Arai,AGILE PhD School,2013,,,https://pdfs.semanticscholar.org/5bb5/d63801b97f1ed018610629e5e15c632c5326.pdf
,Ryosuke Shibasaki,,,,,
Exploiting Collective Spontaneous Mobility to Improve Location Prediction of Mobile Phone Users,Benxiong Huang,2015 IEEE International Conference on Data…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7396492
,Chen Zhou,,,,,
,Lai Tu,,,,,
Exploiting mobile phone data for multi-category land use classification in Africa,Budhendra Bhaduri,UrbanGIS@SIGSPATIAL,2016,,,http://dl.acm.org/citation.cfm?id=3007549
,Gautam Thakur,,,,,
,Huina Mao,,,,,
Extracting a Mobility Model from Real User Traces,David Kotz,Proceedings IEEE INFOCOM 2006. 25TH IEEE…,2006,39,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4146826
,Minkyong Kim,,,,,
,Songkuk Kim,,,,,
Femtocells sharing management using mobility prediction model,Amira Choutri,MSWiM,2013,,,http://dl.acm.org/citation.cfm?id=2507988
,Dominique Barth,,,,,
,Leïla Kloul,,,,,
,Olivier Marcé,,,,,
FriendSensing: recommending friends using mobile phones,Daniele Quercia,RecSys,2009,2,,http://dl.acm.org/citation.cfm?id=1639766
,Licia Capra,,,,,
Friendship and mobility: user movement in location-based social networks,Eunjoon Cho,KDD,2011,200,314,http://dl.acm.org/citation.cfm?id=2020579
,Jure Leskovec,,,,,
,Seth A. Myers,,,,,
From Mobile Phone Data to Transport Network -- Gaining Insight about Human Mobility,Amy Shi Nash,2015 16th IEEE International Conference on Mobile…,2015,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7264328
,Ghim-Eng Yap,,,,,
,Kee Kiat Koo,,,,,
,Manoranjan Dash,,,,,
,Shonali Krishnaswamy,,,,,
,Thomas Holleczek,,,,,
From Mobile Phone Data to Transport Network -- Gaining Insight about Human Mobility,Amy Shi Nash,2015 16th IEEE International Conference on Mobile…,2015,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7264328
,Ghim-Eng Yap,,,,,
,Kee Kiat Koo,,,,,
,Manoranjan Dash,,,,,
,Shonali Krishnaswamy,,,,,
,Thomas Holleczek,,,,,
From Mobile Phone Data to Transport Network -- Gaining Insight about Human Mobility,Amy Shi Nash,2015 16th IEEE International Conference on Mobile…,2015,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7264328
,Ghim-Eng Yap,,,,,
,Kee Kiat Koo,,,,,
,Manoranjan Dash,,,,,
,Shonali Krishnaswamy,,,,,
,Thomas Holleczek,,,,,
From Mobile Phone Sensing to Human Geo-Social Behavior Understanding,Bin Guo,Computational Intelligence,2016,,,https://pdfs.semanticscholar.org/68c9/d2ae27b19cb0838d5071109eb591cf8b6fb8.pdf
,Minshu Li,,,,,
,Xingshe Zhou,,,,,
,Yunji Liang,,,,,
,Zhiwen Yu,,,,,
From Mobile Phone Sensing to Human Geo-Social Behavior Understanding,Bin Guo,Computational Intelligence,2016,,,https://pdfs.semanticscholar.org/68c9/d2ae27b19cb0838d5071109eb591cf8b6fb8.pdf
,Minshu Li,,,,,
,Xingshe Zhou,,,,,
,Yunji Liang,,,,,
,Zhiwen Yu,,,,,
From mobile phone data to the spatial structure of cities,Marc Barthelemy,Scientific reports,2014,3,31,https://pdfs.semanticscholar.org/849e/16b49ef3d322d94816472c7be5c25108d002.pdf
,Maxime Lenormand,,,,,
,Thomas Louail,,,,,
From mobile phone data to the spatial structure of cities,Marc Barthelemy,Scientific reports,2014,3,31,https://pdfs.semanticscholar.org/849e/16b49ef3d322d94816472c7be5c25108d002.pdf
,Maxime Lenormand,,,,,
,Thomas Louail,,,,,
From participatory sensing to Mobile Crowd Sensing,Bin Guo,2014 IEEE International Conference on Pervasive…,2014,11,71,https://arxiv.org/pdf/1401.3090.pdf
,Daqing Zhang,,,,,
,Xingshe Zhou,,,,,
,Zhiwen Yu,,,,,
Future Urban Mobility SMART – Future Urban Mobility,Moshe E. Ben-Akiva,,2010,,,https://pdfs.semanticscholar.org/9ffb/548952f6ccc5542c79e03fec3d198acdf03d.pdf
Gait alignment in mobile phone conversations,Andrew Ramsay,Mobile HCI,2007,,,http://dl.acm.org/citation.cfm?id=1378009
,Bojan Musizza,,,,,
,Melissa Jackson,,,,,
,Roderick Murray-Smith,,,,,
,Simon Garrod,,,,,
Getting closer: an empirical investigation of the proximity of user to their smart phones,Anind K. Dey,UbiComp,2011,3,25,http://dl.acm.org/citation.cfm?id=2030135
,Denzil Ferreira,,,,,
,Jin-Hyuk Hong,,,,,
,Julian Ramos,,,,,
,Katarzyna Wac,,,,,
,Kevin Tassini,,,,,
Going wireless: behavior & practice of new mobile phone users,Ed Youngs,CSCW,2000,5,,http://dl.acm.org/citation.cfm?id=358991
,Leysia Palen,,,,,
,Marilyn C. Salzman,,,,,
Harnessing Mobile Phone Social Network Topology to Infer Users Demographic Attributes,Carlos Sarraute,SNAKDD,2014,,,https://arxiv.org/pdf/1511.07337.pdf
,Javier Burroni,,,,,
,Jorge Brea,,,,,
,Martin Minnoni,,,,,
